trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.999}",25,0,-120.00540882690251,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.998001}",25,0,-117.6666586770697,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.997002999}",20,0,-122.33897351585433,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.996005996001}",25,0,-129.34928130669314,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.995009990004999}",20,0,-83.49493929714524,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.994014980014994}",25,0,-82.6860272026087,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.993020965034979}",30,0,-155.0904286406097,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.992027944069944}",20,0,-81.64690564199104,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.991035916125874}",25,0,-149.382583610979,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9900448802097482}",30,0,-195.25934240992407,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9890548353295384}",35,0,-84.16517207009261,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9880657804942089}",30,0,-129.63013121801964,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9870777147137147}",20,0,-164.05369693834413,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.986090636999001}",25,0,-80.28707231313884,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.985104546362002}",25,9,-87.50943264939845,"{0: 8, 1: 2, 2: 3, 3: 3, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9841194418156399}",30,0,-157.20980958489753,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9831353223738244}",25,0,-149.06068895016185,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9821521870514505}",20,0,-105.36164912701547,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.981170034864399}",25,0,-226.23663869457528,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.9801888648295347}",20,0,-113.85017476500084,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9792086759647052}",25,0,-80.28767990289955,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9782294672887404}",20,0,-114.94174991758011,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9772512378214517}",30,0,-110.47992072260615,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9762739865836302}",20,0,-112.7963834339854,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9752977125970466}",20,0,-44.98652023073373,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9743224148844496}",20,0,-97.34601486713926,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9733480924695651}",20,0,-150.5057981095404,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9723747443770956}",25,0,-133.998538110466,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9714023696327184}",20,0,-37.252829239506404,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.9704309672630858}",20,0,-193.7159862189237,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
31,False,"{'a': 0.01, 'e': 0.9694605362958226}",30,0,-181.7160340331324,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9684910757595268}",25,0,-79.23047016196112,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.9675225846837673}",20,0,-198.58070695137698,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.9665550620990835}",20,0,-70.70817926886465,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9655885070369844}",35,0,-139.66489363055075,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
