trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.1752946938597,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.04750641116186,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.88377843663083,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,-15.776980237160043,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.85604267158122,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.17208234142198,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.03077734380471,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.8635239093333,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.61429306589707,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.63478762582787,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,16,-28.352984883923014,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,2,-154.98878474070008,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.39701263643408,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-147.96810644259875,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.34987211719937,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.01455955813972,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.74108499041338,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.04059841685054,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.81372765999794,"{0: 6, 1: 3, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.18067985098028,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.64615005880579,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-235.95250123442887,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.8401947764331,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.60443338003337,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.6251012159665,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,6,-33.90747365072529,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.43299337608525,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.82510093983335,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.78351399503828,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.78565676849604,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
